cmpd_sample_id	inchi_key	smiles	cas_number	moa
JA-88-IO52				
FB-62-KB87				
KB-00-DM33				
PD-74-VS77				
QC-55-WY28				
QD-57-GT11				
XF-76-GE52				
GC-11-YA32				
AB-06-KB32				
TD-29-IN36				
BE-16-UV45				
BB-57-AZ77				
DD-85-WO51				
PA-40-HC94				
QF-05-OL72				
YB-30-EK42				
ED-62-DB62				
QB-00-CS87				
MA-20-ZI33				
UE-90-KK72				
YC-66-WR78				
NB-75-RF23				
FA-47-IB34				
MA-43-MR37				
AC-75-CE67				
DE-98-FC24				
HC-76-HU27				
DE-18-BC44				
YA-61-RR36				
YA-34-DT48				
NE-14-AO67				
SC-50-ME48				
LE-40-JW92				
AE-64-KN26				
LD-30-MF71				
ZF-10-JD55				
VB-88-YT38				
ME-54-JY76				
AB-14-QA30				
IC-72-TE79				
IF-87-AU84				
VF-79-GQ03				
WB-92-TT14				
UD-03-SW43				
BF-89-QD24				
LC-40-KC29				
CD-84-ET75				
GF-32-FY02				
AC-41-MB45				
LB-67-FA06				
YA-81-YH47				
WB-48-OF09				
GC-69-JF03				
BA-96-YB32				
JA-38-XE73				
IF-28-AV94				
DB-29-HQ45				
AB-61-FY15				
BD-81-FB30				
CE-36-HY42				
NF-10-JP55				
LE-83-PR92				
RA-01-US54				
SB-80-CR34				
AC-14-DG59				
FA-57-OP23				
RA-55-DY98				
PD-58-VA68				
UB-79-KN96				
FC-13-UF39				
UA-91-HL97				
EA-39-YN88				
SB-75-TY18				
FD-13-TF49				
GC-15-JX22				
NB-37-AN17				
GD-41-HR28				
FB-85-ND09				
UC-19-KX65				
CA-48-CT20				
DE-65-KO66				
OF-37-IT01				
MA-17-XU09				
SF-67-CJ22				
BB-83-OX58				
AC-38-WM38				
CC-18-YW57				
EF-82-OV15				
FE-61-DL94				
UE-01-HV71				
CF-44-NQ13				
SC-09-QD27				
XD-37-GI34				
DD-01-VE87				
CC-29-RG66				
VE-88-XW30				
HF-68-PM58				
TC-02-NZ28				
AA-94-TU18				
HC-49-RF93				
EB-08-WP80				
FE-49-ZJ78				
JE-43-OY99				
BB-32-IZ10				
BF-94-GX05				
GA-77-FY14				
EB-98-OI08				
CB-13-WC72				
KD-04-TL80				
MA-16-HJ95				
HF-67-IR57				
BD-70-EK54				
LC-62-AU42				
WB-33-KW88				
WD-86-NH64				
GE-72-PR35				
AC-84-QG99				
JD-47-WR37				
CB-45-VH79				
PC-49-XP02				
EA-33-QC97				
XA-35-DA85				
NC-05-TZ21				
ZB-72-PE17				
HD-19-IW09				
OD-30-UF61				
NE-94-VE83				
DB-41-IH69				
OB-44-HO47				
SE-81-RI20				
BF-32-CI54				
JA-23-RY79				
PA-70-ZC89				
EC-49-OQ85				
VD-08-YA83				
GE-98-ZI68				
NB-58-SA13				
ZB-42-PL54				
GA-77-MH38				
NB-21-MW29				
IA-41-VQ90				
IA-08-DE38				
HA-72-NR60				
BA-92-CZ75				
TD-91-KV46				
AB-86-XY72				
DD-58-HC29				
WD-08-QT63				
RA-25-VV91				
QC-49-CA55				
CB-99-OG76				
LC-54-XS57				
ZE-58-ZZ82				
DE-15-GD59				
LE-50-AP60				
DA-48-NC44				
AC-91-TS36				
DB-41-OE47				
BC-06-IL96				
LD-36-DG33				
MB-72-YK93				
ED-90-AH37				
GA-87-BR97				
BB-55-JH29				
BB-27-MC77				
RC-21-IF98				
RA-49-ZB08				
BC-61-ZY95				
HA-38-ML65				
LC-21-LG46				
HF-66-BD96				
LB-67-JK40				
EA-69-VJ68				
ZF-00-MX33				
QF-63-EA36				
HF-35-HT37				
KA-75-LP02				
EB-67-WB79				
EA-09-HM95				
AE-43-UJ94				
QF-00-NO42				
WA-15-KX40				
KB-46-EJ60				
NB-73-CA61				
OA-54-FL10				
OF-97-MQ74				
FF-76-LK08				
XD-53-KC50				
BD-82-NF37				
EA-73-UC67				
BE-48-IT75				
BE-66-UB12				
KC-86-UD16				
AE-56-RB57				
KB-56-XG08				
CB-16-JO93				
FF-96-HL81				
MB-95-VI30				
DC-01-WE57				
FD-25-KX07				
GC-57-HV87				
CB-84-FA85				
UC-48-CW55				
HE-84-SC79				
JD-62-TK68				
XB-53-OZ95				
BF-54-GX35				
IF-43-EO10				
AB-67-SF89				
SB-89-QK94				
RF-58-GQ76				
LA-96-VT14				
XC-86-SR58				
HD-16-HN20				
SC-59-TX35				
XD-08-ZW85				
AF-83-BX08				
AE-38-ZM08				
DF-95-CY55				
FD-55-XG26				
DC-93-RZ62				
DE-20-VX20				
FD-74-XT10				
TA-20-FO62				
AE-38-EW82				
MA-42-UX14				
SA-03-IQ14				
AC-12-PZ00				
AC-86-XI84				
MC-40-KF76				
CB-10-UX80				
AA-56-DV95				
VA-27-OT56				
MD-17-VD78				
RC-74-NK42				
CB-29-KG96				
AB-57-IZ37				
HA-29-ZM35				
AB-04-HG24				
GA-48-QI68				
UE-91-YV71				
AC-71-YF45				
OF-47-EQ74				
FE-12-TO68				
UB-40-NK72				
IA-28-VB61				
IC-83-DE66				
JA-77-UH38				
BD-70-PH02				
AC-00-BR21				
VB-76-UE47				
AB-64-HD87				
GE-53-SM76				
HB-01-ZU75				
RB-55-KL42				
XC-88-ZM66				
VC-94-CG67				
S0-EE-TZAB				
AA-83-YJ04				
FE-39-LJ73				
XA-12-UL84				
AA-49-HG46				
HB-75-KT12				
GF-14-RF56				
AC-95-NR38				
EB-07-JB09				
CA-61-VV83				
LC-78-EV09				
QC-63-VN72				
TD-17-NF32				
JA-63-WB39				
CC-37-QW80				
MB-15-ZF03				
BE-24-LQ28				
DD-10-NA60				
AE-80-WH32				
XA-88-GW50				
MF-81-RJ18				
XE-45-YU38				
S0-EE-WNJC				
JC-63-BE61				
CB-68-HM58				
AE-64-IK64				
WC-49-TQ48				
BB-36-LB57				
GB-14-AJ76				
AA-16-HV95				
DD-96-VY72				
RC-47-LT41				
BE-77-XF69				
DA-18-QP05				
CB-59-ZX97				
DF-26-EY87				
QC-76-GI57				
FA-63-WI26				
GA-18-KF56				
EA-93-KT88				
DE-27-WV67				
QD-75-XB03				
FD-48-HZ39				
FA-62-JE09				
AA-91-WB95				
CB-72-CP81				
IE-38-FB31				
CF-15-GU15				
LB-70-YM83				
GA-10-WX15				
BB-73-ZW70				
EA-67-SE76				
PA-75-VL17				
VA-15-ZR21				
BE-49-XN43				
RF-04-GI28				
DA-23-TZ42				
NF-51-FT62				
RD-96-AM02				
HF-82-PE14				
WE-97-CV00				
QA-73-SR92				
HE-18-HV99				
OD-78-OU01				
CC-06-WH01				
KA-52-MX24				
HC-92-HE59				
YE-80-LN04				
DB-54-ZQ73				
HC-06-EN50				
RA-18-CU16				
CB-83-SC82				
QC-80-MO42				
S0-EE-Y7SS				
PF-84-RH50				
DD-61-DY35				
NC-14-ES72				
ZA-25-KN86				
AB-32-QZ50				
HD-26-KX74				
CF-01-BY15				
TD-33-TT56				
GD-07-HO70				
AA-50-FY68				
BE-61-CB85				
PD-14-WO27				
FF-60-FQ28				
KE-91-GT92				
KC-35-MF93				
AA-70-VU13				
GB-56-TN25				
LE-50-NZ39				
AA-62-OC45				
SC-76-YF40				
EA-07-RB34				
GC-72-GY67				
PE-63-ER67				
CB-69-KJ83				
KB-59-KM40				
BB-78-LT85				
PD-31-RP17				
FD-63-JF34				
BC-69-CQ95				
FE-25-GD89				
VA-82-XZ88				
XD-03-FM54				
BA-30-VU53				
TF-43-DT71				
VD-09-SX75				
LF-18-HE58				
ZD-38-GI91				
XB-22-LI07				
PB-40-CS17				
IE-36-BO23				
IB-96-PK68				
BA-59-EN38				
PB-63-WH18				
ZB-67-SE99				
UB-41-DY23				
BE-57-VZ17				
BA-15-LA22				
AB-04-MQ83				
GF-35-IT27				
CE-68-CC69				
LB-72-WN85				
IB-80-NT65				
BC-15-BY15				
AE-89-KX47				
FC-68-LJ11				
AB-09-EA37				
CB-92-FS28				
CE-96-CZ90				
UB-62-DF90				
ZB-29-GC39				
OE-18-ZX28				
DD-89-WQ95				
FF-46-CU92				
LC-11-GG16				
RB-18-SX73				
NE-42-YQ17				
TC-22-OM27				
HC-48-BS22				
HA-99-UT82				
WA-53-FZ40				
HA-21-ND29				
XC-50-TN39				
HA-88-EI28				
TD-49-MO89				
TA-48-MG12				
ID-69-QF93				
CB-25-VR83				
HC-86-IA49				
BE-27-RQ61				
FB-94-TJ61				
BE-73-EJ14				
DA-97-MT18				
FB-86-FA19				
OA-62-NJ00				
RD-89-FH52				
HE-34-ZC14				
NB-05-VI80				
WE-69-LT10				
DB-42-PI54				
BD-34-PN26				
MA-96-GW26				
BF-69-DN58				
JD-26-QG88				
PE-58-WU11				
ZD-85-ND87				
JE-52-BH86				
CE-18-AP85				
KA-50-OP35				
UE-76-JL04				
AC-10-JK64				
AD-82-AM64				
DB-89-DT62				
BD-11-DV28				
OA-15-DB28				
UE-09-SD17				
DB-00-QN66				
CB-12-BV05				
BE-38-UW72				
HC-74-FM38				
EF-85-DA07				
OC-71-BZ81				
EA-17-BY69				
HB-92-PE54				
NA-07-JX31				
HE-64-VW17				
GB-46-CK08				
AB-35-RU30				
AD-84-LG49				
GD-66-XE49				
BB-26-JS03				
KD-88-RE18				
UE-90-AA63				
TC-66-CI47				
BE-51-FL19				
YF-00-IN39				
CA-31-EV03				
CC-04-YT10				
JA-42-MU37				
GA-66-XX49				
RF-95-QO64				
ID-00-IC14				
ND-48-XK57				
KB-04-AF26				
AB-41-IO16				
AA-12-SS68				
JF-25-NM40				
CF-82-FS38				
HE-15-UQ55				
CC-90-EX35				
EC-96-KI84				
SE-92-BP29				
DF-84-RT50				
NC-42-UX09				
CF-83-PM81				
JB-65-ON98				
BD-01-HE32				
AF-53-GC97				
PC-04-TO77				
TC-91-SL57				
NE-45-SF73				
AD-70-DU18				
ND-36-VC68				
AC-90-GY03				
HD-00-AG74				
ZD-78-BS65				
AB-33-EM56				
PF-72-IT39				
OF-05-CB18				
TD-57-NZ75				
XD-71-WI50				
OF-02-BG78				
EA-81-CR68				
FD-19-TD14				
BD-98-XW77				
AE-84-YK54				
XC-81-LR46				
VA-57-TF22				
CD-89-CG91				
FA-45-PN48				
KA-73-PR92				
FF-10-JX55				
DC-39-CT52				
EF-73-IP33	AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	1260907-17-2	BRD2/3/4/T BET familiy inhibitor
DE-81-OY65	AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	1429636-49-6	Inhibitors of Signal Transduction Pathways;EGFR (HER1 or erbB1) Inhibitors
IC-57-ZA36	AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	523-88-6	Carboxylesterase Inhibitors
RA-81-JZ66	AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	942191-15-3	Known Chymase inhibitor
BD-60-ZK54	AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1	216957-20-9	Inhibitors of Blood Coagulation Pathways;Coagulation Factor Xa Inhibitors
EB-09-LQ45	AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	865305-30-2	P2RX2 and P2RX3 Purinergic Receptor Antagonist
