inchi_key	moa	gene_symbol	entrez_gene_id	tax_id	tax_name
RKUNBYITZUJHSG-UHFFFAOYSA-N	Muscarinic receptor antagonist	CHRM1	1128	9606	Homo sapiens
RKUNBYITZUJHSG-UHFFFAOYSA-N	Muscarinic receptor antagonist	CHRM2	1129	9606	Homo sapiens
RKUNBYITZUJHSG-UHFFFAOYSA-N	Muscarinic receptor antagonist	CHRM3	1131	9606	Homo sapiens
RKUNBYITZUJHSG-UHFFFAOYSA-N	Muscarinic receptor antagonist	CHRM4	1132	9606	Homo sapiens
RKUNBYITZUJHSG-UHFFFAOYSA-N	Muscarinic receptor antagonist	CHRM5	1133	9606	Homo sapiens
PJDFLNIOAUIZSL-UHFFFAOYSA-N	GABA Aminotransferase Inhibitors	ABAT	18	9606	Homo sapiens
GCWIICJLIHIUNY-UHFFFAOYSA-N	Cathepsin inhibitor	CTSV	1515	9606	Homo sapiens
GCWIICJLIHIUNY-UHFFFAOYSA-N	Cathepsin inhibitor	CTSZ	1522	9606	Homo sapiens
GCWIICJLIHIUNY-UHFFFAOYSA-N	Cathepsin inhibitor	CTSF	8722	9606	Homo sapiens
IBLNKMRFIPWSOY-FNORWQNLSA-N	GABA Reuptake Inhibitors;GABA Aminotransferase Inhibitors	ABAT	18	9606	Homo sapiens
DTQNEFOKTXXQKV-HKUYNNGSSA-N	Tachykinin NK1 Antagonists	CYP2D6	1565	9606	Homo sapiens
ZJJXGWJIGJFDTL-UHFFFAOYSA-N	K(ATP) Channel Blockers	KCNJ11	3767	9606	Homo sapiens
ZJJXGWJIGJFDTL-UHFFFAOYSA-N	K(ATP) Channel Blockers	ABCC8	6833	9606	Homo sapiens
ZJJXGWJIGJFDTL-UHFFFAOYSA-N	K(ATP) Channel Blockers	ABCC9	10060	9606	Homo sapiens
IZJBLVOLKKCYQF-UHFFFAOYSA-N	GABA receptor ligand	GABRA2	2555	9606	Homo sapiens
FRPJGTNLZNXQEX-UHFFFAOYSA-N	Dopamine D4 Agonists	DRD4	1815	9606	Homo sapiens
VIDUBYQATATWPE-UHFFFAOYSA-N	5-HT7 Antagonists	HTR7	3363	9606	Homo sapiens
DIHXJZHAIHGSAW-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3B	9177	9606	Homo sapiens
DIHXJZHAIHGSAW-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3C	170572	9606	Homo sapiens
DIHXJZHAIHGSAW-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3D	200909	9606	Homo sapiens
DIHXJZHAIHGSAW-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3E	285242	9606	Homo sapiens
VWVYLBIQWASACG-UHFFFAOYSA-N	Leucine Aminopeptidase inhibitor	LAP3	51056	9606	Homo sapiens
HKPHVFFQXHMOHX-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3B	9177	9606	Homo sapiens
HKPHVFFQXHMOHX-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3C	170572	9606	Homo sapiens
HKPHVFFQXHMOHX-UHFFFAOYSA-N	5-HT3 receptor agonist	HTR3D	200909	9606	Homo sapiens
